电影名字,电影原名,其他名字,详细内容链接,导演,主演,年份,地区,评语
剪刀手爱德华,Edward Scissorhands, 幻海奇缘(港)   剪刀手爱德华,https://movie.douban.com/subject/1292370/
勇敢的心,Braveheart, 惊世未了缘(港)   梅尔吉勃逊之英雄本色(台),https://movie.douban.com/subject/1294639/
致命ID,Identity, 杀人游戏   致命身份,https://movie.douban.com/subject/1297192/
加勒比海盗,Pirates of the Caribbean: The Curse of the Black Pearl, 加勒比海盗1：黑珍珠号的诅咒   神鬼奇航：鬼盗船魔咒(台),https://movie.douban.com/subject/1298070/
杀人回忆,살인의 추억, 谋杀回忆   杀手回忆录,https://movie.douban.com/subject/1300299/
狩猎,Jagten, 诬网(港)   谎言的烙印(台),https://movie.douban.com/subject/6985810/
天使爱美丽,Le fabuleux destin d'Amélie Poulain, 艾蜜莉的异想世界(台)   天使艾米莉,https://movie.douban.com/subject/1292215/
断背山,Brokeback Mountain, 断臂山   BBM,https://movie.douban.com/subject/1418834/
请以你的名字呼唤我,Call Me by Your Name, 以你的名字呼唤我(港 台) ,https://movie.douban.com/subject/26799731/
7号房的礼物,7번방의 선물, 戆爸的礼物(港)   7号囚房的礼物,https://movie.douban.com/subject/10777687/
红辣椒,パプリカ, 盗梦侦探(港 台) ,https://movie.douban.com/subject/1865703/
幽灵公主,もののけ姫, 魔法公主(台)   幽灵少女,https://movie.douban.com/subject/1297359/
小森林 夏秋篇,リトル・フォレスト 夏・秋, 小森食光 夏秋篇(台) ,https://movie.douban.com/subject/25814705/
阳光灿烂的日子,阳光灿烂的日子, In the Heat of the Sun,https://movie.douban.com/subject/1291875/
第六感,The Sixth Sense, 鬼眼(港)   灵异第六感(台),https://movie.douban.com/subject/1297630/
重庆森林,重慶森林, Chungking Express,https://movie.douban.com/subject/1291999/
入殓师,おくりびと, 礼仪师之奏鸣曲(港)   礼仪师(台),https://movie.douban.com/subject/2149806/
小森林 冬春篇,リトル・フォレスト 冬・春, 小森食光 冬春篇(台) ,https://movie.douban.com/subject/25814707/
唐伯虎点秋香,唐伯虎點秋香, Flirting Scholar,https://movie.douban.com/subject/1306249/
爱在黎明破晓前,Before Sunrise, 情留半天(港)   爱在黎明破晓时(台),https://movie.douban.com/subject/1296339/
消失的爱人,Gone Girl, 失踪的女孩   失踪女孩,https://movie.douban.com/subject/21318488/
一一,一一, Yi yi   Yi yi: A One and a Two,https://movie.douban.com/subject/1292434/
蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises, 蝙蝠侠前传3：黑暗骑士崛起   黑暗骑士：黎明升起(台),https://movie.douban.com/subject/3395373/
菊次郎的夏天,菊次郎の夏, 菊次郎之夏   Kikujirô no natsu,https://movie.douban.com/subject/1293359/
超脱,Detachment, 人间师格(台),https://movie.douban.com/subject/5322596/
侧耳倾听,耳をすませば, 心之谷(台)   梦幻街少女(港),https://movie.douban.com/subject/1297052/
倩女幽魂,倩女幽魂, 倩女幽魂(87版)   倩女幽魂：妖魔道,https://movie.douban.com/subject/1297447/
无人知晓,誰も知らない, 谁知赤子心(港)   无人知晓的夏日清晨(台),https://movie.douban.com/subject/1292337/
超能陆战队,Big Hero 6, 大英雄联盟(港)   大英雄天团(台),https://movie.douban.com/subject/11026735/
甜蜜蜜,甜蜜蜜, Comrades: Almost a Love Story,https://movie.douban.com/subject/1305164/
萤火之森,蛍火の杜へ, 萤火之社   Hotarubi no mori e,https://movie.douban.com/subject/5989818/
玛丽和马克思,Mary and Max, 巧克力情缘(台)   同是天涯寂寞客,https://movie.douban.com/subject/3072124/
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ, 借物少女艾莉缇(台)   借东西的小矮人亚莉亚蒂(港),https://movie.douban.com/subject/4202302/
功夫,功夫, 功夫3D   Kung Fu Hustle,https://movie.douban.com/subject/1291543/
驯龙高手,How to Train Your Dragon, 驯龙记(港),https://movie.douban.com/subject/2353023/
告白,告白, 自白   母亲,https://movie.douban.com/subject/4268598/
人生果实,人生フルーツ, 积存时间的生活(台)   人生水果,https://movie.douban.com/subject/26874505/
爱在日落黄昏时,Before Sunset, 日落巴黎(港)   爱在日落巴黎时(台),https://movie.douban.com/subject/1291990/
大鱼,Big Fish, 大鱼奇缘(港)   大智若鱼(台),https://movie.douban.com/subject/1291545/
幸福终点站,The Terminal, 机场客运站(港)   航站情缘(台),https://movie.douban.com/subject/1292274/
阳光姐妹淘,써니, 阳光姊妹淘(港)   桑尼,https://movie.douban.com/subject/4917726/
射雕英雄传之东成西就,射鵰英雄傳之東成西就, 东成西就   大英雄 (日本),https://movie.douban.com/subject/1316510/
完美的世界,A Perfect World, 强盗保镳,https://movie.douban.com/subject/1300992/
恐怖直播,더 테러 라이브, 死亡“动”新闻(港)   恐怖攻击直播(台),https://movie.douban.com/subject/21360417/
天书奇谭,天书奇谭, The Legend of Sealed Book   Secrets of the Heavenly Book,https://movie.douban.com/subject/1428581/
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban, 哈利波特3：阿兹卡班的逃犯(港 台) ,https://movie.douban.com/subject/1291544/
怪兽电力公司,Monsters, Inc., 怪兽公司(港)   怪物公司,https://movie.douban.com/subject/1291579/
神偷奶爸,Despicable Me, 卑鄙的我   坏蛋奖门人(港),https://movie.douban.com/subject/3287562/
玩具总动员3,Toy Story 3, 反斗奇兵3(港)   玩具的故事3,https://movie.douban.com/subject/1858711/
傲慢与偏见,Pride & Prejudice, 傲慢与偏见2005   Pride And Prejudice,https://movie.douban.com/subject/1418200/
血战钢锯岭,Hacksaw Ridge, 钢锯岭   钢铁英雄(台),https://movie.douban.com/subject/26325320/
教父3,The Godfather: Part III, 教父第三集   教父 III,https://movie.douban.com/subject/1294240/
时空恋旅人,About Time, 时空旅恋人   回到最爱的一天(港),https://movie.douban.com/subject/10577869/
釜山行,부산행, 尸杀列车(港)   尸速列车(台),https://movie.douban.com/subject/25986180/
哪吒闹海,哪吒闹海, Prince Nezha's Triumph Against Dragon King   Nezha Conquers the Dragon King,https://movie.douban.com/subject/1307315/
哈利·波特与密室,Harry Potter and the Chamber of Secrets, 哈利波特2：消失的密室(港 台) ,https://movie.douban.com/subject/1296996/
风之谷,風の谷のナウシカ, 风谷少女   Kaze no tani no Naushika,https://movie.douban.com/subject/1291585/
被解救的姜戈,Django Unchained, 被解放的姜戈   决杀令(台),https://movie.douban.com/subject/6307447/
电锯惊魂,Saw, 恐惧斗室(港)   夺魂锯(台),https://movie.douban.com/subject/1417598/
喜宴,囍宴, The Wedding Banquet,https://movie.douban.com/subject/1303037/
七武士,七人の侍, 七侠四义(港)   七剑客(港),https://movie.douban.com/subject/1295399/
上帝之城,Cidade de Deus, 无主之城 (港)   无法无天 (台),https://movie.douban.com/subject/1292208/
英雄本色,英雄本色, A Better Tomorrow   Gangland Boss,https://movie.douban.com/subject/1297574/
我是山姆,I Am Sam, 不一样的爸爸(港)   他不笨，他是我爸爸(台),https://movie.douban.com/subject/1306861/
